1521560131746,metadata_log_format,wifi-ble-imu-cell collection
1521560131747,metadata_system_time,1521560131747
1521560131747,metadata_surveyName,/storage/emulated/0/FIND-IT/log.csv
1521560131747,metadata_notes,new collection
1521560131747,metadata_deviceInfo,Boardmsm8952Brand,LenovoDevice,PB2PROHardware,qcomManufacturer,LENOVOModel,Lenovo PB2-690MProduct,phinny_row
83698888401039,gyro,BMI160 Gyroscope -Wakeup Secondary,-0.035461426,0.05088806,-0.015716553,3
83698888709268,linAccel,Linear Acceleration,-0.026564568,0.08031082,-0.17386341,3
83698889206143,orientation,Orientation -Wakeup Secondary,143.86108,-13.05534,-1.3289605,1
83698889400883,rotVectorMagnetic,GeoMagnetic Rotation Vector -Wakeup Secondary,0.045137342,-0.10503426,-0.94068205,0.31944913,0.5235988,3
83698889621716,compass,AK09911 Magnetometer -Wakeup Secondary,-9.559631,-25.567627,-35.984802,1
83698889778591,accel,BMI160 Accelerometer -Wakeup Secondary,-0.28179932,2.3105469,9.320068,3
83698889923695,rotVectorGyro,Game Rotation Vector -Wakeup Secondary,0.07267631,0.088126704,0.6969877,0.7079265,3
83698890525987,rotVectorAll,Rotation Vector,0.046338126,-0.10440756,-0.94484097,0.3069647,0.5235988,3
83698941521456,gyro,BMI160 Gyroscope -Wakeup Secondary,-0.025863647,-0.015167236,-0.019989014,3
83698941842862,linAccel,Linear Acceleration -Wakeup Secondary,0.002367258,0.0601542,0.02818966,3
83698941999581,rotVectorAll,Rotation Vector -Wakeup Secondary,0.046835482,-0.103619084,-0.94463915,0.3077766,0.5235988,3
83698942367601,orientation,Orientation -Wakeup Secondary,143.74628,-12.983095,-1.415476,1
83698942519893,rotVectorMagnetic,GeoMagnetic Rotation Vector -Wakeup Secondary,0.046373412,-0.10550994,-0.93986636,0.32150948,0.5235988,3
83698942703643,compass,AK09911 Magnetometer -Wakeup Secondary,-12.634277,-24.836731,-35.28595,1
83698942845101,accel,BMI160 Accelerometer -Wakeup Secondary,-0.23809814,2.2464905,9.511017,3
83698942985987,rotVectorGyro,Game Rotation Vector -Wakeup Secondary,0.07186713,0.08812259,0.6966726,0.7083197,3
83698993724320,gyro,BMI160 Gyroscope -Wakeup Secondary,-0.001373291,0.010406494,-0.018920898,3
83698994276664,orientation,Orientation,143.85477,-12.971201,-1.4353307,1
83698994556143,linAccel,Linear Acceleration -Wakeup Secondary,-0.11446671,-0.016642094,0.0073928833,3
83698994838487,rotVectorAll,Rotation Vector -Wakeup Secondary,0.046869077,-0.10351166,-0.9449449,0.30686766,0.5235988,3
83698995177601,rotVectorMagnetic,GeoMagnetic Rotation Vector -Wakeup Secondary,0.046681024,-0.1055866,-0.9396762,0.3219952,0.5235988,3
83698995541143,compass,AK09911 Magnetometer -Wakeup Secondary,-9.567261,-24.1333,-37.420654,1
83698995822445,accel,BMI160 Accelerometer -Wakeup Secondary,-0.3584137,2.168686,9.494843,3
83698996088122,rotVectorGyro,Game Rotation Vector -Wakeup Secondary,0.071731985,0.08812432,0.69618857,0.7088089,3
83699047178226,gyro,BMI160 Gyroscope -Wakeup Secondary,-0.042907715,-0.0066375732,0.0034484863,3
83699047689685,orientation,Orientation,143.80185,-12.941103,-1.5305927,1
83699048421039,linAccel,Linear Acceleration -Wakeup Secondary,-0.118118584,0.041911125,-0.013604164,3
83699049017133,rotVectorAll,Rotation Vector -Wakeup Secondary,0.04760905,-0.102892056,-0.94482315,0.30733657,0.5235988,3
83699049437862,rotVectorMagnetic,GeoMagnetic Rotation Vector,0.0480875,-0.10497137,-0.93909025,0.32369447,0.5235988,3
83699049781976,compass,AK09911 Magnetometer -Wakeup Secondary,-9.568787,-24.838257,-35.99243,1
83699050445362,accel,BMI160 Accelerometer -Wakeup Secondary,-0.37815857,2.2189636,9.468506,3
83699050771508,rotVectorGyro,Game Rotation Vector -Wakeup Secondary,0.07091113,0.088459104,0.69604325,0.7089926,3
83699101954997,gyro,BMI160 Gyroscope -Wakeup Secondary,-0.0066986084,-0.018356323,0.0045166016,3
83699102530883,linAccel,Linear Acceleration -Wakeup Secondary,0.085283846,0.042058706,0.20772362,3
83699103114945,orientation,Orientation -Wakeup Secondary,143.80981,-12.8899145,-1.4270564,1
83699103565258,rotVectorMagnetic,GeoMagnetic Rotation Vector -Wakeup Secondary,0.049425,-0.104329616,-0.9385474,0.32527122,0.5235988,3
83699103921299,compass,AK09911 Magnetometer -Wakeup Secondary,-11.117554,-24.80774,-33.86383,1
83699104187914,accel,BMI160 Accelerometer -Wakeup Secondary,-0.15789795,2.1992035,9.749832,3
83699104455258,rotVectorGyro,Game Rotation Vector -Wakeup Secondary,0.07130041,0.08756247,0.6960888,0.7090201,3
