user,label,collection_datetime,device_timestamp,orient_x,orient_y,orient_z
ugur,1,2018-03-29 22:04:55,1331400567251,84.444824,-2.2862077,6.847772
ugur,1,2018-03-29 22:04:55,1331346117146,84.121765,-2.3359952,6.5757184
ugur,1,2018-03-29 22:04:55,1331290718553,83.707855,-2.3943017,6.8903284
ugur,1,2018-03-29 22:04:55,1331236265167,82.9068,-3.0577235,7.1363072
ugur,1,2018-03-29 22:04:55,1331183088292,81.81937,-3.6942062,6.679164
ugur,1,2018-03-29 22:04:55,1331130910376,80.96332,-3.6742806,5.860625
ugur,1,2018-03-29 22:04:55,1331078493969,81.171875,-3.1389825,5.3563814
ugur,1,2018-03-29 22:04:55,1331023803657,81.03732,-3.9274724,4.8408413
ugur,1,2018-03-29 22:04:55,1330966154334,82.17059,-4.1483364,4.949919
ugur,1,2018-03-29 22:04:55,1330914608605,83.61871,-4.2500563,5.1117363
ugur,1,2018-03-29 22:04:55,1330862141990,85.578766,-4.333893,5.3428802
ugur,1,2018-03-29 22:04:55,1330807950949,88.61713,-4.351961,5.0262227
ugur,1,2018-03-29 22:04:55,1330754172355,92.766266,-4.265482,4.7683077
ugur,1,2018-03-29 22:04:55,1330700923605,97.41904,-4.388001,4.876691
ugur,1,2018-03-29 22:04:55,1330649102980,103.19064,-4.5930214,5.354362
ugur,1,2018-03-29 22:04:55,1330596390897,108.98865,-4.8433533,5.049131
ugur,1,2018-03-29 22:04:55,1330544484959,115.01141,-5.2295794,5.2440667
ugur,1,2018-03-29 22:04:55,1330492128188,121.050476,-5.879479,5.229219
ugur,1,2018-03-29 22:04:55,1330439164751,126.00226,-6.7240977,5.0788274
ugur,1,2018-03-29 22:04:55,1330382740688,130.99292,-7.1571236,4.238294
ugur,1,2018-03-29 22:04:55,1330326070741,134.8739,-7.0240984,4.9809685
ugur,1,2018-03-29 22:04:55,1330273043449,137.51361,-6.9884963,4.9331374
ugur,1,2018-03-29 22:04:55,1330219425949,139.85785,-6.590831,5.3485103
ugur,1,2018-03-29 22:04:55,1330164911366,142.10486,-5.737281,5.7716985
ugur,1,2018-03-29 22:04:55,1330110996053,143.89355,-5.6221375,4.948978
ugur,1,2018-03-29 22:04:55,1330057075168,146.03302,-5.8437753,4.884624
ugur,1,2018-03-29 22:04:55,1330004368553,148.02057,-5.9631157,5.0235286
ugur,1,2018-03-29 22:04:55,1329951204803,151.27222,-5.8313036,5.899824
ugur,1,2018-03-29 22:04:55,1329898000949,153.99542,-5.966622,4.8659773
ugur,1,2018-03-29 22:04:55,1329845502720,157.24866,-5.238078,2.2059565
ugur,1,2018-03-29 22:04:55,1329791947772,161.32452,-4.039586,0.9464398
ugur,1,2018-03-29 22:04:55,1329738753657,164.82263,-3.6344552,2.4292095
ugur,1,2018-03-29 22:04:55,1329686565793,166.00482,-5.34356,3.4680974
ugur,1,2018-03-29 22:04:55,1329634316262,166.51996,-7.1220174,2.8434224
ugur,1,2018-03-29 22:04:55,1329581634595,168.15302,-7.067878,2.5162113
ugur,1,2018-03-29 22:04:55,1329528499283,169.8675,-6.8998184,2.5540779
ugur,1,2018-03-29 22:04:55,1329473989178,171.02734,-7.072621,2.728084
ugur,1,2018-03-29 22:04:55,1329421471783,171.17877,-7.8844156,2.6467817
ugur,1,2018-03-29 22:04:55,1329366487564,170.66785,-8.244465,2.5951655
ugur,1,2018-03-29 22:04:55,1329309889387,169.91467,-8.3981495,3.0770893
ugur,1,2018-03-29 22:04:55,1329255327043,168.95276,-8.206434,3.503845
ugur,1,2018-03-29 22:04:55,1329202921835,167.18823,-8.751844,4.7064614
ugur,1,2018-03-29 22:04:55,1329148602147,165.11829,-8.321251,3.981442
ugur,1,2018-03-29 22:04:55,1329095962199,164.4494,-7.4535794,4.7828383
ugur,1,2018-03-29 22:04:55,1329042195949,163.13098,-8.13396,4.536759
ugur,1,2018-03-29 22:04:55,1328986766783,162.36438,-8.459488,4.3308125
ugur,1,2018-03-29 22:04:55,1328933613814,161.84717,-8.130545,3.2282338
ugur,1,2018-03-29 22:04:55,1328880065637,161.4054,-8.116688,2.7900226
ugur,1,2018-03-29 22:04:55,1328827582824,160.919,-8.126194,2.3349006
ugur,1,2018-03-29 22:04:55,1328773925116,160.55371,-8.024974,1.6007847
ugur,1,2018-03-29 22:04:55,1328717425637,161.29541,-7.2548103,2.0899808
ugur,1,2018-03-29 22:04:55,1328663596210,161.88867,-6.9133706,2.5062442
ugur,1,2018-03-29 22:04:55,1328611694075,162.41626,-6.7386947,1.7024316
ugur,1,2018-03-29 22:04:55,1328554890272,163.21027,-6.0747967,0.3528193
ugur,1,2018-03-29 22:04:55,1328499146835,164.18604,-4.871113,0.8904812
ugur,1,2018-03-29 22:04:55,1328444027408,163.9248,-5.468164,2.6704807
ugur,1,2018-03-29 22:04:55,1328389555064,163.28699,-6.4815054,1.9674722
ugur,1,2018-03-29 22:04:55,1328335438450,164.22382,-6.1855097,1.9996266
ugur,1,2018-03-29 22:04:55,1328282106939,165.4754,-5.873739,2.203896
ugur,1,2018-03-29 22:04:55,1328227774648,165.62341,-6.433142,2.292753
ugur,1,2018-03-29 22:04:55,1328171143658,164.95276,-6.9046397,2.4151564
ugur,1,2018-03-29 22:04:55,1328118056939,164.24097,-6.692135,3.075904
ugur,1,2018-03-29 22:04:55,1328063945585,163.28033,-6.215924,4.084561
ugur,1,2018-03-29 22:04:55,1328009826731,161.87164,-6.1401544,5.2609625
ugur,1,2018-03-29 22:04:55,1327956390116,160.11957,-6.2445836,4.6951456
ugur,1,2018-03-29 22:04:55,1327904445689,160.09607,-5.1093097,4.4067125
ugur,1,2018-03-29 22:04:55,1327851575221,159.7113,-5.403043,5.396967
ugur,1,2018-03-29 22:04:55,1327796522929,157.99744,-7.3242393,5.1726294
ugur,1,2018-03-29 22:04:55,1327742978710,157.84528,-7.838318,4.966733
ugur,1,2018-03-29 22:04:55,1327687914075,157.9007,-7.9644423,3.6866806
ugur,1,2018-03-29 22:04:55,1327633437669,158.09369,-8.153626,3.8724558
ugur,1,2018-03-29 22:04:55,1327578220429,158.5232,-7.7946625,3.5506694
ugur,1,2018-03-29 22:04:55,1327524729023,159.12988,-7.4415674,3.0658476
ugur,1,2018-03-29 22:04:55,1327469929648,160.57977,-6.851903,3.4218585
ugur,1,2018-03-29 22:04:55,1327416517929,162.05365,-6.7741666,3.2153032
ugur,1,2018-03-29 22:04:55,1327362538554,163.61102,-6.7166815,2.2045412
ugur,1,2018-03-29 22:04:55,1327310585585,165.18701,-6.5163984,1.6283016
ugur,1,2018-03-29 22:04:55,1327256127356,166.19653,-6.364138,2.1157217
ugur,1,2018-03-29 22:04:55,1327203991106,166.27032,-7.2791,3.306724
ugur,1,2018-03-29 22:04:55,1327151319492,166.59143,-7.4350586,3.7853343
ugur,1,2018-03-29 22:04:55,1327098927044,167.5401,-6.6364846,3.293189
ugur,1,2018-03-29 22:04:55,1327046163450,168.05444,-6.553395,3.409822
ugur,1,2018-03-29 22:04:55,1326993313346,167.62628,-6.956838,3.41085
ugur,1,2018-03-29 22:04:55,1326939989909,167.04523,-6.97538,3.6672316
ugur,1,2018-03-29 22:04:55,1326887385742,166.47485,-6.506515,4.0486093
ugur,1,2018-03-29 22:04:55,1326834482096,165.49792,-5.946816,4.362068
ugur,1,2018-03-29 22:04:55,1326779250377,164.04407,-5.7370677,5.6563873
ugur,1,2018-03-29 22:04:55,1326725811419,162.82666,-4.8926635,5.2439423
ugur,1,2018-03-29 22:04:55,1326672634596,162.98364,-4.098934,5.970593
ugur,1,2018-03-29 22:04:55,1326620718554,161.943,-5.3516564,5.5979085
ugur,1,2018-03-29 22:04:55,1326568484804,160.79694,-6.548947,4.9886465
ugur,1,2018-03-29 22:04:55,1326514757096,160.20734,-6.6820006,4.619216
ugur,1,2018-03-29 22:04:55,1326460875742,159.35791,-6.6944685,3.753027
ugur,1,2018-03-29 22:04:55,1326407502669,158.31714,-6.8534846,3.603109
ugur,1,2018-03-29 22:04:55,1326350789492,157.4748,-6.8283463,2.9791358
ugur,1,2018-03-29 22:04:55,1326298025950,157.77136,-6.168246,2.8522475
ugur,1,2018-03-29 22:04:55,1326245455690,158.38733,-5.52429,3.4672422
ugur,1,2018-03-29 22:04:55,1326193615690,158.8216,-5.5616364,3.5439768
ugur,1,2018-03-29 22:04:55,1326140623815,159.49207,-5.853298,2.3496895
ugur,1,2018-03-29 22:04:55,1326087734076,160.47162,-5.729901,1.6111255
ugur,1,2018-03-29 22:04:55,1326035459805,161.25195,-6.07549,2.5154963
ugur,1,2018-03-29 22:04:55,1325982334544,160.7547,-7.099358,3.0319633
ugur,1,2018-03-29 22:04:55,1325927184648,161.21405,-6.980603,2.9756522
ugur,1,2018-03-29 22:04:55,1325874212878,161.65515,-6.6035666,2.7287242
ugur,1,2018-03-29 22:04:55,1325816362149,161.40552,-6.6217084,3.0035288
ugur,1,2018-03-29 22:04:55,1325761678399,160.24194,-6.5752306,3.428587
ugur,1,2018-03-29 22:04:55,1325707846159,158.76819,-6.100162,3.8083482
ugur,1,2018-03-29 22:04:55,1325656113138,157.74976,-5.447727,4.3248267
ugur,1,2018-03-29 22:04:55,1325603479597,156.271,-4.915888,4.848975
ugur,1,2018-03-29 22:04:55,1325548840794,154.85095,-4.5003467,5.4227724
ugur,1,2018-03-29 22:04:55,1325495561524,154.0564,-3.9004765,4.8934293
ugur,1,2018-03-29 22:04:55,1325443202513,153.25732,-3.9200807,5.5241113
ugur,1,2018-03-29 22:04:55,1325389673399,151.3023,-4.993831,5.207543
ugur,1,2018-03-29 22:04:55,1325335544649,150.514,-4.9292054,4.915123
ugur,1,2018-03-29 22:04:55,1325282626315,149.50595,-4.8472037,3.705013
ugur,1,2018-03-29 22:04:55,1325228892409,148.56354,-4.966969,3.4465632
ugur,1,2018-03-29 22:04:55,1325174220222,147.97943,-5.0895033,2.9272866
ugur,1,2018-03-29 22:04:55,1325120746628,147.56369,-5.049606,2.5986576
ugur,1,2018-03-29 22:04:55,1325065934493,147.63281,-5.0716453,3.5543587
ugur,1,2018-03-29 22:04:55,1325013341211,147.4961,-5.4967217,3.3375878
ugur,1,2018-03-29 22:04:55,1324959686263,148.04358,-5.6656556,2.3300622
ugur,1,2018-03-29 22:04:55,1324907278763,148.96222,-5.314746,1.7959673
