user,label,collection_datetime,device_timestamp,linaccel_x,linaccel_y,linaccel_z
ugur,1,2018-03-23 10:34:21,237964896174751,-0.027792752,-0.71965986,2.710662
ugur,1,2018-03-23 10:34:21,237964838874328,-1.3780124,0.5121838,-0.116140366
ugur,1,2018-03-23 10:34:21,237964780163944,-0.88838243,0.7278218,-0.9987097
ugur,1,2018-03-23 10:34:21,237964720509367,-0.47790715,0.35826683,-1.6638083
ugur,1,2018-03-23 10:34:21,237964661034905,-0.048132896,-0.12711394,-1.9820595
ugur,1,2018-03-23 10:34:21,237964601782867,0.44495308,-0.25769043,-3.712254
ugur,1,2018-03-23 10:34:21,237964542402598,0.07547149,-0.5923714,-1.7717009
ugur,1,2018-03-23 10:34:21,237964482965982,0.046739727,-1.1571945,0.12919235
ugur,1,2018-03-23 10:34:21,237964422717598,-0.30942577,-0.98959136,0.13583183
ugur,1,2018-03-23 10:34:21,237964363328059,-0.824986,-0.7220068,-0.55500126
ugur,1,2018-03-23 10:34:21,237964305089098,0.08393879,-0.2979362,2.574566
ugur,1,2018-03-23 10:34:21,237964248678790,0.5156574,-0.49050498,7.4945316
ugur,1,2018-03-23 10:34:21,237964189764983,0.7373229,0.77389777,1.6183157
ugur,1,2018-03-23 10:34:21,237964129681983,0.0037839562,1.0151074,-0.50580406
ugur,1,2018-03-23 10:34:21,237964069469560,-0.3905676,0.3419912,-0.79836845
ugur,1,2018-03-23 10:34:21,237964009749560,-0.65712464,-0.029000401,-2.28686
ugur,1,2018-03-23 10:34:21,237963950422137,-0.42854914,0.027070284,-3.948481
ugur,1,2018-03-23 10:34:21,237963890972021,-0.603784,-0.48181534,-3.1100612
ugur,1,2018-03-23 10:34:21,237963831607021,0.22550803,-0.9394559,1.0762196
ugur,1,2018-03-23 10:34:21,237963772134560,2.6160264,-0.145401,-1.593461
ugur,1,2018-03-23 10:34:21,237963712603406,-0.44492537,-0.6043402,3.2504997
ugur,1,2018-03-23 10:34:21,237963656000983,-0.40760013,-1.1137284,5.6882877
ugur,1,2018-03-23 10:34:21,237963597927983,-0.19681475,0.49539173,0.62051964
ugur,1,2018-03-23 10:34:21,237963538170137,-0.38699263,0.14247334,1.4213657
ugur,1,2018-03-23 10:34:21,237963478320175,-0.47752777,0.5811752,-1.1967907
ugur,1,2018-03-23 10:34:21,237963418121445,-0.0008544326,0.47543395,-2.2602553
ugur,1,2018-03-23 10:34:21,237963357314291,0.21310855,0.30330396,-4.0192504
ugur,1,2018-03-23 10:34:21,237963298994445,-0.20046952,-0.25111973,-2.3376122
ugur,1,2018-03-23 10:34:21,237963240917714,-0.31221575,-1.0717677,-0.85555935
ugur,1,2018-03-23 10:34:21,237963180137483,0.05670628,-1.2931068,0.76347923
ugur,1,2018-03-23 10:34:21,237963120526560,-0.69942886,-1.1713872,-0.27078342
